Density	Temperature	Pressure	Energy	Entropy	ParticleVelocity	LagWavespeed
+2.821529e+00	+3.314511e+02	+5.588544e+00	+6.482391e-02	-2.482759e-01	+3.707282e-01	+6.214771e+00	
+2.822849e+00	+3.316893e+02	+5.633154e+00	+6.575413e-02	-2.475703e-01	+3.734476e-01	+6.222152e+00	
+2.824169e+00	+3.319274e+02	+5.677827e+00	+6.669079e-02	-2.468582e-01	+3.761676e-01	+6.229538e+00	
+2.825490e+00	+3.321655e+02	+5.722565e+00	+6.763388e-02	-2.461395e-01	+3.788884e-01	+6.236928e+00	
+2.826810e+00	+3.324036e+02	+5.767367e+00	+6.858340e-02	-2.454144e-01	+3.816098e-01	+6.244322e+00	
+2.828130e+00	+3.326416e+02	+5.812233e+00	+6.953933e-02	-2.446828e-01	+3.843319e-01	+6.251721e+00	
+2.829451e+00	+3.328797e+02	+5.857163e+00	+7.050168e-02	-2.439447e-01	+3.870546e-01	+6.259125e+00	
+2.830771e+00	+3.331177e+02	+5.902159e+00	+7.147043e-02	-2.432002e-01	+3.897781e-01	+6.266533e+00	
+2.832091e+00	+3.333557e+02	+5.947218e+00	+7.244558e-02	-2.424491e-01	+3.925022e-01	+6.273946e+00	
+2.833412e+00	+3.335936e+02	+5.992342e+00	+7.342713e-02	-2.416916e-01	+3.952270e-01	+6.281363e+00	
+2.834732e+00	+3.338316e+02	+6.037531e+00	+7.441506e-02	-2.409276e-01	+3.979525e-01	+6.288785e+00	
+2.836052e+00	+3.340695e+02	+6.082784e+00	+7.540938e-02	-2.401571e-01	+4.006787e-01	+6.296196e+00	
+2.837372e+00	+3.343074e+02	+6.128101e+00	+7.641026e-02	-2.393800e-01	+4.034055e-01	+6.303482e+00	
+2.838693e+00	+3.345453e+02	+6.173481e+00	+7.741775e-02	-2.385964e-01	+4.061329e-01	+6.310775e+00	
+2.840013e+00	+3.347832e+02	+6.218923e+00	+7.843184e-02	-2.378061e-01	+4.088609e-01	+6.318074e+00	
+2.841333e+00	+3.350210e+02	+6.264428e+00	+7.945252e-02	-2.370091e-01	+4.115896e-01	+6.325378e+00	
+2.842654e+00	+3.352588e+02	+6.309996e+00	+8.047978e-02	-2.362056e-01	+4.143188e-01	+6.332689e+00	
+2.843974e+00	+3.354966e+02	+6.355627e+00	+8.151362e-02	-2.353955e-01	+4.170487e-01	+6.340005e+00	
+2.845294e+00	+3.357344e+02	+6.401321e+00	+8.255402e-02	-2.345788e-01	+4.197792e-01	+6.347328e+00	
+2.846615e+00	+3.359722e+02	+6.447078e+00	+8.360097e-02	-2.337555e-01	+4.225104e-01	+6.354656e+00	
+2.847935e+00	+3.362099e+02	+6.492898e+00	+8.465448e-02	-2.329256e-01	+4.252421e-01	+6.361991e+00	
+2.849255e+00	+3.364476e+02	+6.538781e+00	+8.571451e-02	-2.320891e-01	+4.279744e-01	+6.369331e+00	
+2.850576e+00	+3.366853e+02	+6.584728e+00	+8.678108e-02	-2.312461e-01	+4.307074e-01	+6.376678e+00	
+2.851896e+00	+3.369230e+02	+6.630738e+00	+8.785416e-02	-2.303965e-01	+4.334410e-01	+6.384030e+00	
+2.853216e+00	+3.371606e+02	+6.676812e+00	+8.893376e-02	-2.295403e-01	+4.361752e-01	+6.391389e+00	
+2.854537e+00	+3.373982e+02	+6.722949e+00	+9.001985e-02	-2.286776e-01	+4.389101e-01	+6.398754e+00	
+2.855857e+00	+3.376358e+02	+6.769150e+00	+9.111244e-02	-2.278084e-01	+4.416455e-01	+6.406124e+00	
+2.857177e+00	+3.378734e+02	+6.815414e+00	+9.221151e-02	-2.269326e-01	+4.443816e-01	+6.413501e+00	
+2.858498e+00	+3.381110e+02	+6.861743e+00	+9.331705e-02	-2.260503e-01	+4.471183e-01	+6.420884e+00	
+2.859818e+00	+3.383485e+02	+6.908135e+00	+9.442906e-02	-2.251615e-01	+4.498556e-01	+6.428273e+00	
+2.861138e+00	+3.385860e+02	+6.954591e+00	+9.554753e-02	-2.242661e-01	+4.525935e-01	+6.435668e+00	
+2.862459e+00	+3.388235e+02	+7.001111e+00	+9.667244e-02	-2.233643e-01	+4.553320e-01	+6.443069e+00	
+2.863779e+00	+3.390610e+02	+7.047695e+00	+9.780379e-02	-2.224560e-01	+4.580712e-01	+6.450476e+00	
+2.865099e+00	+3.392984e+02	+7.094343e+00	+9.894157e-02	-2.215411e-01	+4.608110e-01	+6.457889e+00	
+2.866420e+00	+3.395358e+02	+7.141055e+00	+1.000858e-01	-2.206198e-01	+4.635514e-01	+6.465309e+00	
+2.867740e+00	+3.397732e+02	+7.187832e+00	+1.012364e-01	-2.196920e-01	+4.662925e-01	+6.472734e+00	
+2.869060e+00	+3.400106e+02	+7.234672e+00	+1.023934e-01	-2.187577e-01	+4.690341e-01	+6.480166e+00	
+2.870381e+00	+3.402480e+02	+7.281578e+00	+1.035568e-01	-2.178170e-01	+4.717764e-01	+6.487604e+00	
+2.871701e+00	+3.404853e+02	+7.328548e+00	+1.047266e-01	-2.168698e-01	+4.745193e-01	+6.495048e+00	
+2.873021e+00	+3.407226e+02	+7.375582e+00	+1.059028e-01	-2.159161e-01	+4.772628e-01	+6.502498e+00	
+2.874342e+00	+3.409599e+02	+7.422681e+00	+1.070853e-01	-2.149560e-01	+4.800070e-01	+6.509954e+00	
+2.875662e+00	+3.411972e+02	+7.469845e+00	+1.082742e-01	-2.139895e-01	+4.827517e-01	+6.517416e+00	
+2.876982e+00	+3.414344e+02	+7.517073e+00	+1.094695e-01	-2.130165e-01	+4.854971e-01	+6.524885e+00	
+2.878302e+00	+3.416717e+02	+7.564367e+00	+1.106711e-01	-2.120371e-01	+4.882431e-01	+6.532360e+00	
+2.879623e+00	+3.419089e+02	+7.611725e+00	+1.118790e-01	-2.110513e-01	+4.909898e-01	+6.539841e+00	
+2.880943e+00	+3.421460e+02	+7.659148e+00	+1.130932e-01	-2.100591e-01	+4.937370e-01	+6.547328e+00	
+2.882263e+00	+3.423832e+02	+7.706636e+00	+1.143138e-01	-2.090605e-01	+4.964849e-01	+6.554821e+00	
+2.883584e+00	+3.426203e+02	+7.754190e+00	+1.155407e-01	-2.080554e-01	+4.992335e-01	+6.562321e+00	
+2.884904e+00	+3.428574e+02	+7.801809e+00	+1.167739e-01	-2.070440e-01	+5.019826e-01	+6.569826e+00	
+2.886224e+00	+3.430945e+02	+7.849493e+00	+1.180133e-01	-2.060262e-01	+5.047324e-01	+6.577338e+00	
+2.887545e+00	+3.433316e+02	+7.897242e+00	+1.192591e-01	-2.050020e-01	+5.074828e-01	+6.584857e+00	
+2.888865e+00	+3.435686e+02	+7.945057e+00	+1.205111e-01	-2.039714e-01	+5.102338e-01	+6.592381e+00	
+2.890185e+00	+3.438057e+02	+7.992938e+00	+1.217694e-01	-2.029345e-01	+5.129854e-01	+6.599912e+00	
+2.891506e+00	+3.440427e+02	+8.040884e+00	+1.230339e-01	-2.018912e-01	+5.157377e-01	+6.607449e+00	
+2.892826e+00	+3.442796e+02	+8.088896e+00	+1.243047e-01	-2.008415e-01	+5.184906e-01	+6.614992e+00	
+2.894146e+00	+3.445166e+02	+8.136973e+00	+1.255818e-01	-1.997855e-01	+5.212441e-01	+6.622542e+00	
+2.895467e+00	+3.447535e+02	+8.185116e+00	+1.268650e-01	-1.987231e-01	+5.239983e-01	+6.630098e+00	
+2.896787e+00	+3.449904e+02	+8.233326e+00	+1.281545e-01	-1.976545e-01	+5.267531e-01	+6.637660e+00	
+2.898107e+00	+3.452273e+02	+8.281601e+00	+1.294502e-01	-1.965795e-01	+5.295085e-01	+6.645228e+00	
+2.899428e+00	+3.454642e+02	+8.329942e+00	+1.307521e-01	-1.954981e-01	+5.322645e-01	+6.652803e+00	
+2.900748e+00	+3.457010e+02	+8.378350e+00	+1.320602e-01	-1.944105e-01	+5.350212e-01	+6.660384e+00	
+2.902068e+00	+3.459379e+02	+8.426823e+00	+1.333745e-01	-1.933165e-01	+5.377785e-01	+6.667934e+00	
+2.903389e+00	+3.461747e+02	+8.475361e+00	+1.346953e-01	-1.922161e-01	+5.405364e-01	+6.675331e+00	
+2.904709e+00	+3.464114e+02	+8.523963e+00	+1.360225e-01	-1.911091e-01	+5.432948e-01	+6.682734e+00	
+2.906029e+00	+3.466482e+02	+8.572628e+00	+1.373562e-01	-1.899956e-01	+5.460538e-01	+6.690140e+00	
+2.907350e+00	+3.468849e+02	+8.621357e+00	+1.386963e-01	-1.888756e-01	+5.488133e-01	+6.697550e+00	
+2.908670e+00	+3.471216e+02	+8.670149e+00	+1.400430e-01	-1.877491e-01	+5.515733e-01	+6.704965e+00	
+2.909990e+00	+3.473583e+02	+8.719005e+00	+1.413961e-01	-1.866160e-01	+5.543340e-01	+6.712384e+00	
+2.911311e+00	+3.475950e+02	+8.767925e+00	+1.427557e-01	-1.854765e-01	+5.570951e-01	+6.719807e+00	
+2.912631e+00	+3.478316e+02	+8.816909e+00	+1.441217e-01	-1.843304e-01	+5.598568e-01	+6.727235e+00	
+2.913951e+00	+3.480682e+02	+8.865956e+00	+1.454943e-01	-1.831779e-01	+5.626191e-01	+6.734666e+00	
+2.915272e+00	+3.483048e+02	+8.915067e+00	+1.468732e-01	-1.820188e-01	+5.653819e-01	+6.742124e+00	
+2.916592e+00	+3.485414e+02	+8.964243e+00	+1.482588e-01	-1.808533e-01	+5.681453e-01	+6.749593e+00	
+2.917912e+00	+3.487779e+02	+9.013483e+00	+1.496508e-01	-1.796813e-01	+5.709092e-01	+6.757067e+00	
+2.919232e+00	+3.490145e+02	+9.062788e+00	+1.510494e-01	-1.785028e-01	+5.736737e-01	+6.764544e+00	
+2.920553e+00	+3.492510e+02	+9.112157e+00	+1.524545e-01	-1.773179e-01	+5.764387e-01	+6.772026e+00	
+2.921873e+00	+3.494874e+02	+9.161590e+00	+1.538661e-01	-1.761265e-01	+5.792043e-01	+6.779512e+00	
